Time	Prediction	Expectation	Found	Runtime
44.28397086397215	..((((....)))).	..((((....)))).	true	2
87.15418145839973	..((((....)))).	..((((....)))).	true	1
13.588952717482712	..((((....)))).	..((((....)))).	true	1
29.799506429967543	..((((....)))).	..((((....)))).	true	2
5.163440258286868	..((((....)))).	..((((....)))).	true	2
37.31626810474096	..((((....)))).	..((((....)))).	true	1
3.174969607287653	..((((....)))).	..((((....)))).	true	1
30.761415557642565	..((((....)))).	..((((....)))).	true	1
8.75005726820427	..((((....)))).	..((((....)))).	true	2
121.55724618501297	..((((....)))).	..((((....)))).	true	3
6.573526681933911	..((((....)))).	..((((....)))).	true	3
2.1739231569346593	..((((....)))).	..((((....)))).	true	2
3.6756659339872444	..((((....)))).	..((((....)))).	true	2
11.628177593335623	..((((....)))).	..((((....)))).	true	2
17.248169306592686	..((((....)))).	..((((....)))).	true	2
18.869672296651235	..((((....)))).	..((((....)))).	true	3
21.24447984277699	..((((....)))).	..((((....)))).	true	2
6.306250874375873	..((((....)))).	..((((....)))).	true	2
30.798588125777187	..((((....)))).	..((((....)))).	true	2
9.406738772050026	..((((....)))).	..((((....)))).	true	1
12.825559836778163	..((((....)))).	..((((....)))).	true	9
22.493755708560137	..((((....)))).	..((((....)))).	true	2
6.828605629517051	..((((....)))).	..((((....)))).	true	2
11.567586514758126	..((((....)))).	..((((....)))).	true	1
5.225415618597983	..((((....)))).	..((((....)))).	true	2
6.388120114502627	..((((....)))).	..((((....)))).	true	2
50.86209640627635	..((((....)))).	..((((....)))).	true	2
27.653919434625713	..((((....)))).	..((((....)))).	true	4
16.21079821295557	..((((....)))).	..((((....)))).	true	2
33.533844227214274	..((((....)))).	..((((....)))).	true	2
128.16405723572615	..((((....)))).	..((((....)))).	true	2
44.066203499885376	..((((....)))).	..((((....)))).	true	2
8.885479267966797	..((((....)))).	..((((....)))).	true	6
7.35062861203704	..((((....)))).	..((((....)))).	true	0
77.02841360803019	..((((....)))).	..((((....)))).	true	1
35.89562263205609	..((((....)))).	..((((....)))).	true	1
17.306077321061128	..((((....)))).	..((((....)))).	true	2
7.583676242076389	..((((....)))).	..((((....)))).	true	0
35.87160507924571	..((((....)))).	..((((....)))).	true	1
20.895284978316322	..((((....)))).	..((((....)))).	true	1
4.777963119069043	..((((....)))).	..((((....)))).	true	0
9.44770119858434	..((((....)))).	..((((....)))).	true	2
11.536578379197465	..((((....)))).	..((((....)))).	true	2
2.760776292492782	..((((....)))).	..((((....)))).	true	0
5.673925026751878	..((((....)))).	..((((....)))).	true	1
15.322743157858264	..((((....)))).	..((((....)))).	true	1
6.284763271707323	..((((....)))).	..((((....)))).	true	0
1.5851241272126917	..((((....)))).	..((((....)))).	true	1
9.470127500944102	..((((....)))).	..((((....)))).	true	1
5.139319173295298	..((((....)))).	..((((....)))).	true	0
81.09659228741243	..((((....)))).	..((((....)))).	true	1
17.585407901322792	..((((....)))).	..((((....)))).	true	1
70.54833160585197	..((((....)))).	..((((....)))).	true	1
3.480917304901582	..((((....)))).	..((((....)))).	true	0
6.621320439197691	..((((....)))).	..((((....)))).	true	1
9.464049781662796	..((((....)))).	..((((....)))).	true	1
10.29973040924212	..((((....)))).	..((((....)))).	true	1
0.8046377747198692	..((((....)))).	..((((....)))).	true	0
49.57793291609772	..((((....)))).	..((((....)))).	true	1
33.46493027394761	..((((....)))).	..((((....)))).	true	1
113.72077943887024	..((((....)))).	..((((....)))).	true	1
51.97813179458256	..((((....)))).	..((((....)))).	true	2
27.27741180639327	..((((....)))).	..((((....)))).	true	1
74.51707952920223	..((((....)))).	..((((....)))).	true	1
6.982178507603138	..((((....)))).	..((((....)))).	true	1
71.0774694966786	..((((....)))).	..((((....)))).	true	0
11.62591784919869	..((((....)))).	..((((....)))).	true	3
31.705904026411677	..((((....)))).	..((((....)))).	true	1
110.7755377023338	..((((....)))).	..((((....)))).	true	1
2.227529432283619	..((((....)))).	..((((....)))).	true	0
9.184220402178983	..((((....)))).	..((((....)))).	true	1
15.000066277468344	..((((....)))).	..((((....)))).	true	1
15.941983336981515	..((((....)))).	..((((....)))).	true	1
11.202440788943665	..((((....)))).	..((((....)))).	true	0
13.295109426669379	..((((....)))).	..((((....)))).	true	1
14.020503523697636	..((((....)))).	..((((....)))).	true	0
3.9663136811572604	..((((....)))).	..((((....)))).	true	0
18.617717672879277	..((((....)))).	..((((....)))).	true	1
35.81579735882055	..((((....)))).	..((((....)))).	true	1
38.11923858118609	..((((....)))).	..((((....)))).	true	1
5.639754065628063	..((((....)))).	..((((....)))).	true	0
8.966884433357336	..((((....)))).	..((((....)))).	true	1
50.7119385028843	..((((....)))).	..((((....)))).	true	1
7.839417213882121	..((((....)))).	..((((....)))).	true	1
26.369722578248744	..((((....)))).	..((((....)))).	true	1
14.969728041125936	..((((....)))).	..((((....)))).	true	1
17.63183773251336	..((((....)))).	..((((....)))).	true	2
142.9048666506232	..((((....)))).	..((((....)))).	true	1
9.241680720736994	..((((....)))).	..((((....)))).	true	1
21.149958200825218	..((((....)))).	..((((....)))).	true	1
10.408479836372175	..((((....)))).	..((((....)))).	true	2
148.12272301981716	..((((....)))).	..((((....)))).	true	3
12.925576165982267	..((((....)))).	..((((....)))).	true	1
62.169676427789334	..((((....)))).	..((((....)))).	true	1
16.355350910765495	..((((....)))).	..((((....)))).	true	0
36.24900148489872	..((((....)))).	..((((....)))).	true	1
3.057546760109197	..((((....)))).	..((((....)))).	true	1
7.2340093486514006	..((((....)))).	..((((....)))).	true	0
5.694526489706686	..((((....)))).	..((((....)))).	true	1
18.610801267245996	..((((....)))).	..((((....)))).	true	1
20.313252343605605	..((((....)))).	..((((....)))).	true	0
9.731747074739024	..((((....)))).	..((((....)))).	true	0
47.43734641101131	..((((....)))).	..((((....)))).	true	1
11.316460760575827	..((((....)))).	..((((....)))).	true	1
20.44193839616077	..((((....)))).	..((((....)))).	true	0
15.22394289051772	..((((....)))).	..((((....)))).	true	1
50.26122394531861	..((((....)))).	..((((....)))).	true	1
41.34011458634203	..((((....)))).	..((((....)))).	true	1
18.274978498757026	..((((....)))).	..((((....)))).	true	1
7.116044430131252	..((((....)))).	..((((....)))).	true	1
37.07560331011112	..((((....)))).	..((((....)))).	true	0
11.893261912283199	..((((....)))).	..((((....)))).	true	1
35.54887989150654	..((((....)))).	..((((....)))).	true	1
1.9311233128986334	..((((....)))).	..((((....)))).	true	2
11.034977996228156	..((((....)))).	..((((....)))).	true	2
7.483255093393801	..((((....)))).	..((((....)))).	true	1
20.819638857067236	..((((....)))).	..((((....)))).	true	1
139.19274954850735	..((((....)))).	..((((....)))).	true	1
21.70773578784385	..((((....)))).	..((((....)))).	true	1
17.830742153006156	..((((....)))).	..((((....)))).	true	1
74.485298488551	..((((....)))).	..((((....)))).	true	1
6.305660783402456	..((((....)))).	..((((....)))).	true	0
12.717787962977816	..((((....)))).	..((((....)))).	true	1
2.86199493665611	..((((....)))).	..((((....)))).	true	0
9.542110579094217	..((((....)))).	..((((....)))).	true	1
22.743621047149865	..((((....)))).	..((((....)))).	true	1
